ville,adresse,type,surface,operation,prix_original,prix_corrected,reason
Tanger,Sania,Villa,47.6,à vendre,800,1142000,"Original 800 MAD < market floor (8,000–40,000 MAD/m² × 47.6 m²)"
Cap de l'eau,Toute la ville,Terrain,49.9,à vendre,3200,160000,"Original 3,200 MAD < market floor (300–4,000 MAD/m² × 49.9 m²)"
Settat,Hay Mimouna,Maison,49.9,à vendre,140000,773000,"Original 140,000 MAD < market floor (6,000–25,000 MAD/m² × 49.9 m²)"
Marrakech,Annakhil,Terrain,50.2,à vendre,5300,266000,"Original 5,300 MAD < market floor (500–7,000 MAD/m² × 50.2 m²)"
Ain Aouda,Toute la ville,Maison,50.5,à vendre,23000,1162000,"Original 23,000 MAD < market floor (6,000–25,000 MAD/m² × 50.5 m²)"
Salé,Sala El Jadida,Local,47.8,à vendre,18000,860000,"Original 18,000 MAD < market floor (6,000–25,000 MAD/m² × 47.8 m²)"
Casablanca,Riviera,Local,49.9,à vendre,27000,1347000,"Original 27,000 MAD < market floor (8,000–35,000 MAD/m² × 49.9 m²)"
Salé,Toute la ville,Maison,48.9,à vendre,23000,1125000,"Original 23,000 MAD < market floor (6,000–25,000 MAD/m² × 48.9 m²)"
Marrakech,Es Saada,Appartement,50.2,à vendre,54,1305000,"Original 54 MAD < market floor (10,000–42,000 MAD/m² × 50.2 m²)"
Tanger,Tanja Balia,Local,77.0,à vendre,79000,1194000,"Original 79,000 MAD < market floor (6,000–25,000 MAD/m² × 77.0 m²)"
Tanger,Centre,Terrain,296.0,à vendre,13000,636000,"Original 13,000 MAD < market floor (300–4,000 MAD/m² × 296.0 m²)"
Nador,Autre secteur,Terrain,50.3,à vendre,800,40000,"Original 800 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Mdiq,Toute la ville,Terrain,50.3,à vendre,6000,302000,"Original 6,000 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Had Soualem,Toute la ville,Terrain,50.3,à vendre,6000,302000,"Original 6,000 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Nouaceur,Toute la ville,Appartement,60.0,à vendre,6000,360000,"Original 6,000 MAD < market floor (8,000–35,000 MAD/m² × 60.0 m²)"
Casablanca,Aïn Chock,Appartement,99.0,à vendre,12500,1238000,"Original 12,500 MAD < market floor (12,000–45,000 MAD/m² × 99.0 m²)"
Marrakech,Route d'Amezmiz,Terrain,50.2,à vendre,900,45000,"Original 900 MAD < market floor (500–7,000 MAD/m² × 50.2 m²)"
Meknès,Autre secteur,Appartement,50.3,à vendre,1,591000,"Original 1 MAD < market floor (5,500–18,000 MAD/m² × 50.3 m²)"
Salé,Said Hajji,Appartement,49.0,à vendre,32,1054000,"Original 32 MAD < market floor (8,000–35,000 MAD/m² × 49.0 m²)"
Saidia,Toute la ville,Appartement,50.3,à vendre,45,1081000,"Original 45 MAD < market floor (8,000–35,000 MAD/m² × 50.3 m²)"
Meknès,Bourj Moulay Omar,Appartement,50.3,à vendre,450,591000,"Original 450 MAD < market floor (5,500–18,000 MAD/m² × 50.3 m²)"
Berkane,Toute la ville,Maison,50.3,à vendre,67000,780000,"Original 67,000 MAD < market floor (6,000–25,000 MAD/m² × 50.3 m²)"
Casablanca,Ain Sebaa,Terrain,49.9,à vendre,19500,973000,"Original 19,500 MAD < market floor (1,000–10,000 MAD/m² × 49.9 m²)"
Imzouren,Toute la ville,Maison,50.3,à vendre,45000,2264000,"Original 45,000 MAD < market floor (6,000–25,000 MAD/m² × 50.3 m²)"
Temara,Wifak,Appartement,50.3,à vendre,17500,880000,"Original 17,500 MAD < market floor (8,000–35,000 MAD/m² × 50.3 m²)"
Casablanca,Sidi Bernoussi,Bureau,50.0,à vendre,700,1425000,"Original 700 MAD < market floor (12,000–45,000 MAD/m² × 50.0 m²)"
,Tanger,Maison,50.5,à vendre,12000,606000,"Original 12,000 MAD < market floor (6,000–25,000 MAD/m² × 50.5 m²)"
El Jadida,Autre secteur,Appartement,50.3,à vendre,68,1081000,"Original 68 MAD < market floor (8,000–35,000 MAD/m² × 50.3 m²)"
Mohammedia,Quartier du Parc,Local,50.1,à vendre,23000,1152000,"Original 23,000 MAD < market floor (6,000–25,000 MAD/m² × 50.1 m²)"
Marrakech,Route de Ouarzazate,Terrain,50.2,à vendre,1430,72000,"Original 1,430 MAD < market floor (500–7,000 MAD/m² × 50.2 m²)"
Marrakech,Azzouzia,Appartement,50.2,à vendre,75,1305000,"Original 75 MAD < market floor (10,000–42,000 MAD/m² × 50.2 m²)"
Meknès,Autre secteur,Appartement,50.3,à vendre,1,591000,"Original 1 MAD < market floor (5,500–18,000 MAD/m² × 50.3 m²)"
Mohammedia,Centre Ville,Terrain,9270.0,à vendre,14000,19930000,"Original 14,000 MAD < market floor (300–4,000 MAD/m² × 9270.0 m²)"
Deroua,Toute la ville,Local,50.3,à vendre,41,780000,"Original 41 MAD < market floor (6,000–25,000 MAD/m² × 50.3 m²)"
Marrakech,Route de Casablanca,Terrain,13000.0,à vendre,850000,48750000,"Original 850,000 MAD < market floor (500–7,000 MAD/m² × 13000.0 m²)"
Casablanca,Autre secteur,Terrain,50.3,à vendre,6000,302000,"Original 6,000 MAD < market floor (1,000–10,000 MAD/m² × 50.3 m²)"
Salé,Sala El Jadida,Appartement,48.6,à vendre,87,1045000,"Original 87 MAD < market floor (8,000–35,000 MAD/m² × 48.6 m²)"
Marrakech,Route d'Ourika,Villa,750.0,à vendre,1600000,27000000,"Original 1,600,000 MAD < market floor (12,000–60,000 MAD/m² × 750.0 m²)"
Casablanca,Sidi Maarouf,Appartement,51.2,à vendre,11500,589000,"Original 11,500 MAD < market floor (12,000–45,000 MAD/m² × 51.2 m²)"
Rabat,Hay Nahda,Local,100.0,à vendre,130,1550000,"Original 130 MAD < market floor (6,000–25,000 MAD/m² × 100.0 m²)"
Bouskoura,Ville verte,Appartement,50.3,à vendre,570,1081000,"Original 570 MAD < market floor (8,000–35,000 MAD/m² × 50.3 m²)"
Tanger,Aharrarine,Terrain,48.3,à vendre,13,104000,"Original 13 MAD < market floor (300–4,000 MAD/m² × 48.3 m²)"
Tétouan,Mhannech,Maison,50.3,à vendre,130,780000,"Original 130 MAD < market floor (6,000–25,000 MAD/m² × 50.3 m²)"
Safi,Kawki,Appartement,50.3,à vendre,23,1081000,"Original 23 MAD < market floor (8,000–35,000 MAD/m² × 50.3 m²)"
Azilal,Toute la ville,Terrain,50.3,à vendre,30,108000,"Original 30 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Ksar el-Kebir,Toute la ville,Villa,50.3,à vendre,130,1207000,"Original 130 MAD < market floor (8,000–40,000 MAD/m² × 50.3 m²)"
Rommani,Toute la ville,Terrain,50.3,à vendre,500,25000,"Original 500 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
