Ville,Adresse,Type,Date,Prix,Surface,Operation,Description,surface_regex,rooms,bathrooms,salons,garage,terrasse,ascenseur,piscine,meuble,balcon,price_per_room,city_median_price,price_vs_city
Salé,Hay Chmaou,Appartement,13/04/2026,550000,61,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 61 m² Salé  « Hay Chmaou »",61.0,3.0,,1.0,1,0,0,0,0,0,183333.33333333334,550000.0,1.0
Salé,Sala El Jadida,Appartement,11/04/2026,740000,91,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 91 m² Salé  « Sala El Jadida »",91.0,3.0,,1.0,0,0,0,0,0,0,246666.66666666666,550000.0,1.3454545454545455
Salé,Non spécifié,Appartement,07/04/2026,450000,96,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 96 m² Salé",96.0,3.0,,1.0,0,0,0,0,0,0,150000.0,550000.0,0.8181818181818182
Salé,Hay Karima,Appartement,02/04/2026,750000,80,à vendre,"2 chambre, 1 salon, avec Garage. Appartement meublé 3 pièces 80 m² Salé  « Hay Karima »",80.0,3.0,,1.0,1,0,0,0,1,0,250000.0,550000.0,1.3636363636363635
Salé,Said Hajji,Appartement,29/03/2026,660000,90,à vendre,"2 chambre, 2 salon. Appartement meublé 4 pièces 90 m² Salé  « Said Hajji »",90.0,4.0,,2.0,0,0,0,0,1,0,165000.0,550000.0,1.2
Salé,Said Hajji,Appartement,27/03/2026,1100000,121,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 121 m² Salé  « Said Hajji »",121.0,5.0,,2.0,1,0,0,0,0,0,220000.0,550000.0,2.0
Salé,Hay Chmaou,Appartement,01/03/2026,792000,66,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 66 m² Salé  « Hay Chmaou »",66.0,3.0,,1.0,1,0,0,0,0,0,264000.0,550000.0,1.44
Salé,Sala El Jadida,Appartement,22/02/2026,396000,45,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 45 m² Salé  « Sala El Jadida »",45.0,2.0,,1.0,0,0,0,0,0,0,198000.0,550000.0,0.72
Salé,Hay Oued Dahab,Appartement,17/02/2026,250000,66,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 66 m² Salé  « Hay Oued Dahab »",66.0,3.0,,1.0,0,0,0,0,0,0,83333.33333333333,550000.0,0.45454545454545453
Salé,Said Hajji,Appartement,11/02/2026,490000,67,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 67 m² Salé  « Said Hajji »",67.0,3.0,,1.0,0,0,0,0,1,0,163333.33333333334,550000.0,0.8909090909090909
Salé,Tabriquet,Appartement,09/02/2026,480000,52,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 52 m² Salé  « Tabriquet »",52.0,3.0,,1.0,0,0,0,0,0,0,160000.0,550000.0,0.8727272727272727
Salé,Said Hajji,Appartement,08/02/2026,540000,65,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 65 m² Salé  « Said Hajji »",65.0,3.0,,1.0,0,0,0,0,1,0,180000.0,550000.0,0.9818181818181818
Mohammedia,Non spécifié,Appartement,25/04/2026,370000,65,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 65 m² Mohammedia",65.0,3.0,,1.0,0,0,0,0,0,0,123333.33333333333,550000.0,0.6727272727272727
Mohammedia,Non spécifié,Appartement,15/03/2026,450000,97,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 97 m² Mohammedia",97.0,3.0,,1.0,0,0,0,0,0,0,150000.0,550000.0,0.8181818181818182
Mohammedia,Zenata,Appartement,04/03/2026,550000,64,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 64 m² Mohammedia  « Zenata »",64.0,3.0,,1.0,1,0,0,0,0,0,183333.33333333334,550000.0,1.0
Mohammedia,Nassim,Appartement,23/02/2026,1100000,127,à vendre,"4 chambre, 1 salon, avec Garage. Appartement  5 pièces 127 m² Mohammedia  « Nassim »",127.0,5.0,,1.0,1,0,0,0,0,0,220000.0,550000.0,2.0
Mohammedia,Hay Mesk Lil,Appartement,07/02/2026,850000,95,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 95 m² Mohammedia  « Hay Mesk Lil »",95.0,4.0,,2.0,0,0,0,0,0,0,212500.0,550000.0,1.5454545454545454
