ville,adresse,type,date,prix,surface,operation,description,surface_predicted,is_placeholder,price_label,label_reason,prix_normalise,prix_m2
casablanca,Sidi Moumen,Appartement,31/03/2026,530000,73.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 73 m² Casablanca  « Sidi Moumen »",,False,total,fits total range with realistic per-m² ratio,530000.0,7260.273972602739
casablanca,Maârif Extension,Appartement,30/03/2026,1089000,52.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 52 m² Casablanca  « Maârif Extension »",,False,total,fits total range with realistic per-m² ratio,1089000.0,20942.30769230769
casablanca,Aïn Borja,Appartement,29/03/2026,920000,97.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 97 m² Casablanca  « Aïn Borja »",,False,total,fits total range with realistic per-m² ratio,920000.0,9484.536082474227
casablanca,Hay Albaraka,Appartement,28/03/2026,600000,75.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 75 m² Casablanca  « Hay Albaraka »",,True,total,fits total range with realistic per-m² ratio,600000.0,8000.0
casablanca,Hay Mohammadi,Appartement,27/03/2026,1600000,192.0,à vendre,Appartement   192 m² Casablanca  « Hay Mohammadi »,,True,total,fits total range with realistic per-m² ratio,1600000.0,8333.333333333334
casablanca,Palmier,Appartement,27/03/2026,1120000,40.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 40 m² Casablanca  « Palmier »",,False,total,fits total range with realistic per-m² ratio,1120000.0,28000.0
casablanca,Palmier,Appartement,27/03/2026,2260000,100.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 100 m² Casablanca  « Palmier »",,False,total,fits total range with realistic per-m² ratio,2260000.0,22600.0
casablanca,Palmier,Appartement,27/03/2026,2060000,87.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement meublé 3 pièces 87 m² Casablanca  « Palmier »",,False,total,fits total range with realistic per-m² ratio,2060000.0,23678.16091954023
casablanca,Oulfa,Appartement,26/03/2026,440000,51.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 51 m² Casablanca  « Oulfa »",,False,total,fits total range with realistic per-m² ratio,440000.0,8627.450980392157
casablanca,Californie,Appartement,26/03/2026,1456000,112.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 112 m² Casablanca  « Californie »",,False,total,fits total range with realistic per-m² ratio,1456000.0,13000.0
casablanca,Non spécifié,Appartement,26/03/2026,520000,62.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 62 m² Casablanca",,False,total,fits total range with realistic per-m² ratio,520000.0,8387.09677419355
casablanca,Oulfa,Appartement,26/03/2026,350000,50.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 50 m² Casablanca  « Oulfa »",,True,total,fits total range with realistic per-m² ratio,350000.0,7000.0
casablanca,Non spécifié,Appartement,25/03/2026,680000,72.0,à vendre,2 chambre. Appartement meublé 2 pièces 72 m² Casablanca,,False,total,fits total range with realistic per-m² ratio,680000.0,9444.444444444445
casablanca,Hôpitaux,Appartement,25/03/2026,156,156.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 156 m² Casablanca  « Hôpitaux »",,True,flag,prix below floor and doesn't fit per_m2,156.0,1.0
casablanca,Sidi Moumen,Appartement,24/03/2026,250000,50.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 50 m² Casablanca  « Sidi Moumen »",,True,flag,"prix 250,000 fits neither total nor per_m2 for casablanca",250000.0,5000.0
casablanca,Belvédère,Appartement,23/03/2026,1300000,79.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 79 m² Casablanca  « Belvédère »",,True,total,fits total range with realistic per-m² ratio,1300000.0,16455.696202531646
casablanca,Al Qods,Appartement,23/03/2026,820000,91.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 91 m² Casablanca  « Al Qods »",,False,total,fits total range with realistic per-m² ratio,820000.0,9010.989010989011
casablanca,Les Princesses,Appartement,18/03/2026,1250000,42.0,à vendre,"1 chambre, 1 salon. Appartement meublé 2 pièces 42 m² Casablanca  « Les Princesses »",,True,total,fits total range with realistic per-m² ratio,1250000.0,29761.904761904763
casablanca,Val Fleuri,Appartement,13/03/2026,1475000,97.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 97 m² Casablanca  « Val Fleuri »",,False,total,fits total range with realistic per-m² ratio,1475000.0,15206.185567010309
casablanca,Maârif Extension,Appartement,08/03/2026,1150000,104.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement  4 pièces 104 m² Casablanca  « Maârif Extension »",,False,total,fits total range with realistic per-m² ratio,1150000.0,11057.692307692309
casablanca,Route D'azemmour,Appartement,08/03/2026,350000,60.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 60 m² Casablanca  « Route D'azemmour »",,True,total,fits total range with realistic per-m² ratio,350000.0,5833.333333333333
casablanca,Non spécifié,Appartement,08/03/2026,540000,65.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 65 m² Casablanca",,False,total,fits total range with realistic per-m² ratio,540000.0,8307.692307692309
casablanca,Hay Inara,Appartement,05/03/2026,900000,86.0,à vendre,"2 chambre, 2 salon. Appartement meublé 4 pièces 86 m² Casablanca  « Hay Inara »",,True,total,fits total range with realistic per-m² ratio,900000.0,10465.116279069767
casablanca,2 Mars,Appartement,05/03/2026,1300000,84.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 84 m² Casablanca  « 2 Mars »",,True,total,fits total range with realistic per-m² ratio,1300000.0,15476.190476190477
casablanca,Centre Ville,Appartement,05/03/2026,770000,77.0,à vendre,"1 chambre, 2 salon. Appartement  3 pièces 77 m² Casablanca  « Centre Ville »",,False,total,fits total range with realistic per-m² ratio,770000.0,10000.0
casablanca,Bourgogne,Appartement,03/03/2026,2499999,153.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 153 m² Casablanca  « Bourgogne »",,False,total,fits total range with realistic per-m² ratio,2499999.0,16339.862745098038
casablanca,Errahma,Appartement,28/02/2026,850000,78.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 78 m² Casablanca  « Errahma »",,True,total,fits total range with realistic per-m² ratio,850000.0,10897.435897435897
casablanca,Sidi Othmane,Appartement,28/02/2026,315000,56.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 56 m² Casablanca  « Sidi Othmane »",,False,total,fits total range with realistic per-m² ratio,315000.0,5625.0
casablanca,Non spécifié,Appartement,25/02/2026,620000,84.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 84 m² Casablanca",,False,total,fits total range with realistic per-m² ratio,620000.0,7380.952380952381
casablanca,Bourgogne,Appartement,24/02/2026,2235000,122.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 122 m² Casablanca  « Bourgogne »",,False,total,fits total range with realistic per-m² ratio,2235000.0,18319.67213114754
casablanca,Non spécifié,Appartement,23/02/2026,900000,59.0,à vendre,"1 chambre, 1 salon. Appartement meublé 2 pièces 59 m² Casablanca",,True,total,fits total range with realistic per-m² ratio,900000.0,15254.237288135593
casablanca,Aïn Chock,Appartement,20/02/2026,1940000,93.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 93 m² Casablanca  « Aïn Chock »",,False,total,fits total range with realistic per-m² ratio,1940000.0,20860.21505376344
casablanca,Gauthier,Appartement,17/02/2026,4100000,181.0,à vendre,"4 chambre, 3 salon, avec Garage. Appartement meublé 7 pièces 181 m² Casablanca  « Gauthier »",,False,total,fits total range with realistic per-m² ratio,4100000.0,22651.933701657457
casablanca,Almaz,Appartement,17/02/2026,1200000,84.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 84 m² Casablanca  « Almaz »",,True,total,fits total range with realistic per-m² ratio,1200000.0,14285.714285714286
casablanca,Nassim,Appartement,15/02/2026,1570000,126.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 126 m² Casablanca  « Nassim »",,False,total,fits total range with realistic per-m² ratio,1570000.0,12460.317460317461
casablanca,Beauséjour,Appartement,11/02/2026,1300000,100.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement  4 pièces 100 m² Casablanca  « Beauséjour »",,True,total,fits total range with realistic per-m² ratio,1300000.0,13000.0
casablanca,Errahma,Appartement,10/02/2026,330000,54.0,à vendre,"1 chambre, 2 salon. Appartement  3 pièces 54 m² Casablanca  « Errahma »",,False,total,fits total range with realistic per-m² ratio,330000.0,6111.111111111111
casablanca,Hay Moulay Rachid 1,Appartement,08/02/2026,550000,75.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 75 m² Casablanca  « Hay Moulay Rachid 1 »",,True,total,fits total range with realistic per-m² ratio,550000.0,7333.333333333333
casablanca,Maârif Extension,Appartement,05/02/2026,1044000,52.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 52 m² Casablanca  « Maârif Extension »",,False,total,fits total range with realistic per-m² ratio,1044000.0,20076.923076923078
rabat,Hassan,Appartement,23/04/2026,1050000,40.0,à vendre,"1 chambre, 1 salon, avec Garage. Appartement  2 pièces 40 m² Rabat  « Hassan »",,False,total,fits total range with realistic per-m² ratio,1050000.0,26250.0
rabat,Hay El Fath,Appartement,23/04/2026,1330000,100.0,à vendre,"3 chambre, 1 salon. Appartement meublé 4 pièces 100 m² Rabat  « Hay El Fath »",,False,total,fits total range with realistic per-m² ratio,1330000.0,13300.0
rabat,Agdal,Appartement,10/04/2026,2850000,137.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 137 m² Rabat  « Agdal »",,False,total,fits total range with realistic per-m² ratio,2850000.0,20802.919708029196
rabat,Agdal,Appartement,01/04/2026,2618000,119.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 119 m² Rabat  « Agdal »",,False,total,fits total range with realistic per-m² ratio,2618000.0,22000.0
rabat,Hassan,Appartement,28/03/2026,2970000,110.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 110 m² Rabat  « Hassan »",,False,total,fits total range with realistic per-m² ratio,2970000.0,27000.0
